/home/cpaliard/Documents/stylegan2-ada-pytorch/projector.py:226: DeprecationWarning: LANCZOS is deprecated and will be removed in Pillow 10 (2023-07-01). Use Resampling.LANCZOS instead.
  target_pil = target_pil.resize((G.img_resolution, G.img_resolution), PIL.Image.LANCZOS)
Loading networks from "https://nvlabs-fi-cdn.nvidia.com/stylegan2-ada-pytorch/pretrained/ffhq.pkl"...
Computing W midpoint and stddev using 1 samples...
Setting up PyTorch plugin "bias_act_plugin"... Done.
Setting up PyTorch plugin "upfirdn2d_plugin"... /home/cpaliard/miniconda3/envs/sg_env/lib/python3.10/site-packages/torch/nn/modules/module.py:1130: UserWarning: operator() profile_node %106 : int = prim::profile_ivalue(%104)
 does not have profile information (Triggered internally at  ../torch/csrc/jit/codegen/cuda/graph_fuser.cpp:104.)
step   73/1000: dist 0.3477 loss 42.0379
step   74/1000: dist 0.3477 loss 46.4042
step   75/1000: dist 0.3473 loss 47.4181
step   76/1000: dist 0.3470 loss 47.1291
step   77/1000: dist 0.3490 loss 43.6477
step   78/1000: dist 0.3486 loss 38.3938
step   79/1000: dist 0.3438 loss 32.6286
step   80/1000: dist 0.3410 loss 25.3808
step   81/1000: dist 0.3380 loss 18.3059
step   82/1000: dist 0.3407 loss 12.2414
step   83/1000: dist 0.3411 loss 9.5743
step   84/1000: dist 0.3400 loss 8.0209
step   85/1000: dist 0.3406 loss 9.0527
step   86/1000: dist 0.3375 loss 11.3300
step   87/1000: dist 0.3352 loss 14.5544
step   88/1000: dist 0.3360 loss 21.7317
step   89/1000: dist 0.3324 loss 30.4188
step   90/1000: dist 0.3304 loss 32.4847
step   91/1000: dist 0.3295 loss 23.5165
step   92/1000: dist 0.3292 loss 11.9839
step   93/1000: dist 0.3325 loss 14.5011
step   94/1000: dist 0.3273 loss 21.3564
step   95/1000: dist 0.3223 loss 14.2030
step   96/1000: dist 0.3197 loss 5.7529
step   97/1000: dist 0.3263 loss 7.3530
step   98/1000: dist 0.3273 loss 9.7532
step   99/1000: dist 0.3227 loss 8.4160
step  100/1000: dist 0.3200 loss 8.3148
step  101/1000: dist 0.3225 loss 8.0032
step  102/1000: dist 0.3219 loss 5.2800
step  103/1000: dist 0.3203 loss 6.4536
step  104/1000: dist 0.3210 loss 7.8342
step  105/1000: dist 0.3179 loss 4.6769
step  106/1000: dist 0.3164 loss 4.1322
step  107/1000: dist 0.3148 loss 5.8024
step  108/1000: dist 0.3125 loss 5.2857
step  109/1000: dist 0.3110 loss 5.7521
step  110/1000: dist 0.3161 loss 6.4374
step  111/1000: dist 0.3191 loss 3.6798
step  112/1000: dist 0.3157 loss 1.5825
step  113/1000: dist 0.3120 loss 3.3557
step  114/1000: dist 0.3070 loss 4.6227
step  115/1000: dist 0.3054 loss 3.2530
step  116/1000: dist 0.3082 loss 2.1253
step  117/1000: dist 0.3052 loss 2.3737
step  118/1000: dist 0.3051 loss 2.9854
step  119/1000: dist 0.2971 loss 3.2071
step  120/1000: dist 0.2945 loss 2.8086
step  121/1000: dist 0.2956 loss 3.2386
step  122/1000: dist 0.2945 loss 6.1159
step  123/1000: dist 0.2968 loss 9.7560
step  124/1000: dist 0.2992 loss 10.1530
step  125/1000: dist 0.3019 loss 6.1746
step  126/1000: dist 0.3018 loss 2.8221
step  127/1000: dist 0.2990 loss 5.1711
step  128/1000: dist 0.2975 loss 11.1949
step  129/1000: dist 0.2993 loss 15.8906
step  130/1000: dist 0.2980 loss 17.0105
step  131/1000: dist 0.2971 loss 14.6526
step  132/1000: dist 0.2926 loss 12.3026
step  133/1000: dist 0.2859 loss 12.1102
step  134/1000: dist 0.2844 loss 11.6382
step  135/1000: dist 0.2853 loss 11.3688
step  136/1000: dist 0.2829 loss 16.0641
step  137/1000: dist 0.2837 loss 24.3155
step  138/1000: dist 0.2840 loss 25.4725
step  139/1000: dist 0.2832 loss 20.4378
step  140/1000: dist 0.2819 loss 20.6347
step  141/1000: dist 0.2816 loss 21.2834
step  142/1000: dist 0.2810 loss 12.5134
step  143/1000: dist 0.2777 loss 5.8858
step  144/1000: dist 0.2769 loss 11.3396
step  145/1000: dist 0.2758 loss 15.2575
step  146/1000: dist 0.2759 loss 8.2510
step  147/1000: dist 0.2784 loss 3.6098
step  148/1000: dist 0.2796 loss 7.9659
step  149/1000: dist 0.2792 loss 9.6249
step  150/1000: dist 0.2794 loss 4.9873
step  151/1000: dist 0.2749 loss 3.5302
step  152/1000: dist 0.2721 loss 6.1616
step  153/1000: dist 0.2751 loss 6.4882
step  154/1000: dist 0.2772 loss 5.6202
step  155/1000: dist 0.2755 loss 7.8429
step  156/1000: dist 0.2746 loss 12.3367
step  157/1000: dist 0.2737 loss 16.3434
step  158/1000: dist 0.2749 loss 15.3469
step  159/1000: dist 0.2769 loss 7.4482
step  160/1000: dist 0.2699 loss 2.1145
step  161/1000: dist 0.2665 loss 6.3182
step  162/1000: dist 0.2663 loss 10.3135
step  163/1000: dist 0.2681 loss 5.3778
step  164/1000: dist 0.2683 loss 1.2526
step  165/1000: dist 0.2678 loss 5.3131
step  166/1000: dist 0.2664 loss 7.4900
step  167/1000: dist 0.2615 loss 3.5803
step  168/1000: dist 0.2606 loss 3.6517
step  169/1000: dist 0.2599 loss 8.9532
step  170/1000: dist 0.2604 loss 11.3655
step  171/1000: dist 0.2621 loss 13.0856
step  172/1000: dist 0.2594 loss 19.0433
step  173/1000: dist 0.2600 loss 22.0602
step  174/1000: dist 0.2560 loss 15.1414
step  175/1000: dist 0.2567 loss 5.1787
step  176/1000: dist 0.2523 loss 3.9279
step  177/1000: dist 0.2566 loss 9.8311
step  178/1000: dist 0.2556 loss 11.7118
step  179/1000: dist 0.2542 loss 5.7167
step  180/1000: dist 0.2541 loss 1.5568
step  181/1000: dist 0.2556 loss 5.2277
step  182/1000: dist 0.2605 loss 7.8799
step  183/1000: dist 0.2577 loss 4.0265
step  184/1000: dist 0.2577 loss 1.7051
step  185/1000: dist 0.2617 loss 4.1196
step  186/1000: dist 0.2572 loss 4.6264
step  187/1000: dist 0.2582 loss 2.9578
step  188/1000: dist 0.2615 loss 3.8688
step  189/1000: dist 0.2590 loss 5.7461
step  190/1000: dist 0.2560 loss 6.8207
step  191/1000: dist 0.2608 loss 10.1739
step  192/1000: dist 0.2548 loss 14.7101
step  193/1000: dist 0.2583 loss 16.0354
step  194/1000: dist 0.2601 loss 15.2364
step  195/1000: dist 0.2539 loss 14.0832
step  196/1000: dist 0.2536 loss 9.6425
step  197/1000: dist 0.2566 loss 5.8936
step  198/1000: dist 0.2581 loss 8.4061
step  199/1000: dist 0.2568 loss 12.7849
step  200/1000: dist 0.2487 loss 13.1790
step  201/1000: dist 0.2557 loss 13.0620
step  202/1000: dist 0.2583 loss 16.1603
step  203/1000: dist 0.2556 loss 15.9912
step  204/1000: dist 0.2547 loss 11.0156
step  205/1000: dist 0.2505 loss 11.0632
step  206/1000: dist 0.2471 loss 17.5946
step  207/1000: dist 0.2465 loss 19.0243
step  208/1000: dist 0.2498 loss 14.4022
step  209/1000: dist 0.2465 loss 15.9520
step  210/1000: dist 0.2459 loss 22.1392
step  211/1000: dist 0.2480 loss 17.7984
step  212/1000: dist 0.2434 loss 6.3735
step  213/1000: dist 0.2425 loss 5.0430
step  214/1000: dist 0.2429 loss 11.3814
step  215/1000: dist 0.2403 loss 10.5597
step  216/1000: dist 0.2401 loss 4.7609
step  217/1000: dist 0.2413 loss 5.1582
step  218/1000: dist 0.2388 loss 7.5092
step  219/1000: dist 0.2402 loss 4.8465
step  220/1000: dist 0.2389 loss 3.2748
step  221/1000: dist 0.2382 loss 5.4641
step  222/1000: dist 0.2368 loss 4.6888
step  223/1000: dist 0.2374 loss 2.5276
step  224/1000: dist 0.2362 loss 4.5001
step  225/1000: dist 0.2366 loss 6.0826
step  226/1000: dist 0.2353 loss 5.0026
step  227/1000: dist 0.2351 loss 7.4384
step  228/1000: dist 0.2352 loss 12.1277
step  229/1000: dist 0.2357 loss 11.8828
step  230/1000: dist 0.2357 loss 8.0598
step  231/1000: dist 0.2346 loss 5.3833
step  232/1000: dist 0.2362 loss 4.7468
step  233/1000: dist 0.2369 loss 6.7017
step  234/1000: dist 0.2340 loss 9.4839
step  235/1000: dist 0.2354 loss 7.4740
step  236/1000: dist 0.2373 loss 2.5012
step  237/1000: dist 0.2386 loss 2.2835
step  238/1000: dist 0.2345 loss 5.6284
step  239/1000: dist 0.2374 loss 5.8494
step  240/1000: dist 0.2391 loss 3.7326
step  241/1000: dist 0.2336 loss 4.3021
step  242/1000: dist 0.2336 loss 7.2851
step  243/1000: dist 0.2379 loss 9.9055
step  244/1000: dist 0.2340 loss 11.6988
step  245/1000: dist 0.2339 loss 12.0924
step  246/1000: dist 0.2329 loss 9.5907
step  247/1000: dist 0.2333 loss 6.7734
step  248/1000: dist 0.2336 loss 8.5657
step  249/1000: dist 0.2310 loss 15.4374
step  250/1000: dist 0.2325 loss 21.4276
step  251/1000: dist 0.2313 loss 18.7037
step  252/1000: dist 0.2314 loss 7.9779
step  253/1000: dist 0.2324 loss 2.2253
step  254/1000: dist 0.2339 loss 7.8864
step  255/1000: dist 0.2335 loss 15.0771
step  256/1000: dist 0.2314 loss 14.4330
step  257/1000: dist 0.2315 loss 12.9211
step  258/1000: dist 0.2325 loss 19.1974
step  259/1000: dist 0.2310 loss 22.8909
step  260/1000: dist 0.2288 loss 13.4219
step  261/1000: dist 0.2332 loss 5.3155
step  262/1000: dist 0.2324 loss 13.3376
step  263/1000: dist 0.2318 loss 25.1134
step  264/1000: dist 0.2370 loss 24.9295
step  265/1000: dist 0.2325 loss 18.6099
step  266/1000: dist 0.2300 loss 17.5795
step  267/1000: dist 0.2330 loss 18.7484
step  268/1000: dist 0.2296 loss 17.3399
step  269/1000: dist 0.2270 loss 15.2306
step  270/1000: dist 0.2282 loss 11.8956
step  271/1000: dist 0.2281 loss 6.7038
step  272/1000: dist 0.2283 loss 7.1295
step  273/1000: dist 0.2271 loss 13.1324
step  274/1000: dist 0.2266 loss 12.0772
step  275/1000: dist 0.2268 loss 4.4770
step  276/1000: dist 0.2278 loss 4.7437
step  277/1000: dist 0.2296 loss 11.4141
step  278/1000: dist 0.2283 loss 12.4385
step  279/1000: dist 0.2286 loss 11.8838
step  280/1000: dist 0.2274 loss 18.7843
step  281/1000: dist 0.2253 loss 23.1996
step  282/1000: dist 0.2278 loss 14.0528
step  283/1000: dist 0.2279 loss 2.8741
step  284/1000: dist 0.2297 loss 4.7269
step  285/1000: dist 0.2277 loss 11.8768
step  286/1000: dist 0.2273 loss 10.5464
step  287/1000: dist 0.2269 loss 3.9149
step  288/1000: dist 0.2314 loss 3.6538
step  289/1000: dist 0.2278 loss 7.7513
step  290/1000: dist 0.2266 loss 6.7611
step  291/1000: dist 0.2254 loss 3.2596
step  292/1000: dist 0.2289 loss 4.8863
step  293/1000: dist 0.2270 loss 7.8732
step  294/1000: dist 0.2240 loss 7.5085
step  295/1000: dist 0.2245 loss 8.7694
step  296/1000: dist 0.2244 loss 12.6079
step  297/1000: dist 0.2250 loss 12.4442
step  298/1000: dist 0.2237 loss 8.6942
step  299/1000: dist 0.2250 loss 7.4455
step  300/1000: dist 0.2237 loss 9.2878
step  301/1000: dist 0.2236 loss 13.2708
step  302/1000: dist 0.2269 loss 19.3969
step  303/1000: dist 0.2243 loss 22.3735
step  304/1000: dist 0.2243 loss 17.4174
step  305/1000: dist 0.2262 loss 10.8815
step  306/1000: dist 0.2235 loss 8.9622
step  307/1000: dist 0.2239 loss 9.2062
step  308/1000: dist 0.2219 loss 8.6563
step  309/1000: dist 0.2241 loss 8.0095
step  310/1000: dist 0.2227 loss 8.0642
step  311/1000: dist 0.2211 loss 8.5711
step  312/1000: dist 0.2178 loss 9.2017
step  313/1000: dist 0.2245 loss 9.5183
step  314/1000: dist 0.2219 loss 9.9298
step  315/1000: dist 0.2224 loss 11.9977
step  316/1000: dist 0.2211 loss 15.0110
step  317/1000: dist 0.2243 loss 15.4649
step  318/1000: dist 0.2227 loss 12.0812
step  319/1000: dist 0.2233 loss 7.0462
step  320/1000: dist 0.2274 loss 4.2109
step  321/1000: dist 0.2204 loss 5.2194
step  322/1000: dist 0.2294 loss 8.7767
step  323/1000: dist 0.2241 loss 11.9914
step  324/1000: dist 0.2252 loss 13.1508
step  325/1000: dist 0.2291 loss 13.6975
step  326/1000: dist 0.2357 loss 14.6329
step  327/1000: dist 0.2360 loss 12.7796
step  328/1000: dist 0.2281 loss 7.0031
step  329/1000: dist 0.2348 loss 2.3674
step  330/1000: dist 0.2340 loss 3.6946
step  331/1000: dist 0.2362 loss 8.1754
step  332/1000: dist 0.2391 loss 9.2836
step  333/1000: dist 0.2255 loss 6.3667
step  334/1000: dist 0.2368 loss 5.8980
step  335/1000: dist 0.2394 loss 12.0337
step  336/1000: dist 0.2336 loss 21.8278
step  337/1000: dist 0.2297 loss 30.3504
step  338/1000: dist 0.2319 loss 34.2724
step  339/1000: dist 0.2384 loss 30.0096
step  340/1000: dist 0.2302 loss 19.4723
step  341/1000: dist 0.2248 loss 10.6441
step  342/1000: dist 0.2301 loss 10.4341
step  343/1000: dist 0.2309 loss 14.0386
step  344/1000: dist 0.2269 loss 13.1148
step  345/1000: dist 0.2267 loss 9.7016
step  346/1000: dist 0.2241 loss 9.7717
step  347/1000: dist 0.2221 loss 13.2683
step  348/1000: dist 0.2220 loss 15.8265
step  349/1000: dist 0.2185 loss 14.8721
step  350/1000: dist 0.2216 loss 9.9749
step  351/1000: dist 0.2222 loss 5.1189
step  352/1000: dist 0.2216 loss 5.4948
step  353/1000: dist 0.2209 loss 8.8619
step  354/1000: dist 0.2209 loss 8.2816
step  355/1000: dist 0.2184 loss 4.2068
step  356/1000: dist 0.2200 loss 3.8985
step  357/1000: dist 0.2185 loss 7.1937
step  358/1000: dist 0.2184 loss 7.9754
step  359/1000: dist 0.2175 loss 7.0472
step  360/1000: dist 0.2172 loss 9.7993
step  361/1000: dist 0.2176 loss 14.6078
step  362/1000: dist 0.2151 loss 15.4099
step  363/1000: dist 0.2151 loss 11.4247
step  364/1000: dist 0.2165 loss 6.4314
step  365/1000: dist 0.2169 loss 3.7058
step  366/1000: dist 0.2178 loss 4.6138
step  367/1000: dist 0.2152 loss 8.2316
step  368/1000: dist 0.2158 loss 10.6107
step  369/1000: dist 0.2147 loss 9.7019
step  370/1000: dist 0.2156 loss 10.0834
step  371/1000: dist 0.2132 loss 15.2640
step  372/1000: dist 0.2143 loss 20.0289
step  373/1000: dist 0.2154 loss 18.1103
step  374/1000: dist 0.2164 loss 12.5942
step  375/1000: dist 0.2153 loss 12.2049
step  376/1000: dist 0.2146 loss 18.8381
step  377/1000: dist 0.2151 loss 26.0629
step  378/1000: dist 0.2142 loss 26.5549
step  379/1000: dist 0.2152 loss 19.8132
step  380/1000: dist 0.2168 loss 16.3722
step  381/1000: dist 0.2127 loss 23.1327
step  382/1000: dist 0.2142 loss 29.1026
step  383/1000: dist 0.2154 loss 19.7350
step  384/1000: dist 0.2141 loss 5.2322
step  385/1000: dist 0.2138 loss 5.4900
step  386/1000: dist 0.2158 loss 15.2420
step  387/1000: dist 0.2123 loss 14.0548
step  388/1000: dist 0.2129 loss 3.7663
step  389/1000: dist 0.2131 loss 3.4091
step  390/1000: dist 0.2145 loss 10.4039
step  391/1000: dist 0.2133 loss 9.1143
step  392/1000: dist 0.2124 loss 4.4000
step  393/1000: dist 0.2120 loss 7.9311
step  394/1000: dist 0.2117 loss 12.4213
step  395/1000: dist 0.2132 loss 9.8399
step  396/1000: dist 0.2126 loss 7.1438
step  397/1000: dist 0.2120 loss 6.7241
step  398/1000: dist 0.2108 loss 3.6451
step  399/1000: dist 0.2090 loss 1.8401
step  400/1000: dist 0.2112 loss 5.6080
step  401/1000: dist 0.2105 loss 7.1337
step  402/1000: dist 0.2119 loss 2.9623
step  403/1000: dist 0.2176 loss 1.6067
step  404/1000: dist 0.2141 loss 4.7037
step  405/1000: dist 0.2175 loss 5.6915
step  406/1000: dist 0.2157 loss 4.6932
step  407/1000: dist 0.2197 loss 5.7178
step  408/1000: dist 0.2186 loss 7.9168
step  409/1000: dist 0.2172 loss 9.6630
step  410/1000: dist 0.2205 loss 10.7198
step  411/1000: dist 0.2176 loss 9.9521
step  412/1000: dist 0.2155 loss 8.3135
step  413/1000: dist 0.2177 loss 9.7860
step  414/1000: dist 0.2142 loss 14.7779
step  415/1000: dist 0.2163 loss 19.3393
step  416/1000: dist 0.2136 loss 18.6332
step  417/1000: dist 0.2136 loss 11.5662
step  418/1000: dist 0.2173 loss 3.7018
step  419/1000: dist 0.2141 loss 2.7404
step  420/1000: dist 0.2154 loss 7.5743
step  421/1000: dist 0.2144 loss 9.4691
step  422/1000: dist 0.2173 loss 5.2843
step  423/1000: dist 0.2172 loss 2.0707
step  424/1000: dist 0.2115 loss 3.9454
step  425/1000: dist 0.2149 loss 5.5530
step  426/1000: dist 0.2164 loss 3.1706
step  427/1000: dist 0.2113 loss 1.3465
step  428/1000: dist 0.2134 loss 3.0997
step  429/1000: dist 0.2108 loss 4.1574
step  430/1000: dist 0.2129 loss 2.0044
step  431/1000: dist 0.2110 loss 0.5048
step  432/1000: dist 0.2113 loss 1.9765
step  433/1000: dist 0.2118 loss 2.9673
step  434/1000: dist 0.2105 loss 1.5468
step  435/1000: dist 0.2114 loss 0.5747
step  436/1000: dist 0.2094 loss 1.4048
step  437/1000: dist 0.2113 loss 1.7874
step  438/1000: dist 0.2106 loss 1.0305
step  439/1000: dist 0.2109 loss 0.9978
step  440/1000: dist 0.2146 loss 1.8068
step  441/1000: dist 0.2163 loss 1.9864
step  442/1000: dist 0.2158 loss 2.0269
step  443/1000: dist 0.2215 loss 3.5925
step  444/1000: dist 0.2165 loss 6.5299
step  445/1000: dist 0.2225 loss 10.0002
step  446/1000: dist 0.2338 loss 14.2743
step  447/1000: dist 0.2304 loss 18.2925
step  448/1000: dist 0.2266 loss 18.9923
step  449/1000: dist 0.2254 loss 16.2059
step  450/1000: dist 0.2284 loss 15.1768
step  451/1000: dist 0.2285 loss 17.5735
step  452/1000: dist 0.2223 loss 17.0095
step  453/1000: dist 0.2198 loss 10.5427
step  454/1000: dist 0.2212 loss 4.6976
step  455/1000: dist 0.2194 loss 7.0578
step  456/1000: dist 0.2182 loss 15.1302
step  457/1000: dist 0.2171 loss 19.8978
step  458/1000: dist 0.2196 loss 19.2451
step  459/1000: dist 0.2172 loss 18.7046
step  460/1000: dist 0.2172 loss 18.9660
step  461/1000: dist 0.2199 loss 15.8354
step  462/1000: dist 0.2160 loss 12.4324
step  463/1000: dist 0.2170 loss 16.4599
step  464/1000: dist 0.2138 loss 24.8870
step  465/1000: dist 0.2163 loss 24.9056
step  466/1000: dist 0.2129 loss 14.3206
step  467/1000: dist 0.2104 loss 7.8554
step  468/1000: dist 0.2100 loss 13.3489
step  469/1000: dist 0.2106 loss 20.2836
step  470/1000: dist 0.2111 loss 18.5487
step  471/1000: dist 0.2113 loss 12.3653
step  472/1000: dist 0.2082 loss 10.3157
step  473/1000: dist 0.2090 loss 14.0295
step  474/1000: dist 0.2098 loss 20.7837
step  475/1000: dist 0.2091 loss 27.0253
step  476/1000: dist 0.2093 loss 28.2104
step  477/1000: dist 0.2106 loss 22.6846
step  478/1000: dist 0.2075 loss 18.9272
step  479/1000: dist 0.2085 loss 22.1605
step  480/1000: dist 0.2107 loss 24.1385
step  481/1000: dist 0.2129 loss 16.7942
step  482/1000: dist 0.2123 loss 6.9467
step  483/1000: dist 0.2156 loss 6.5014
step  484/1000: dist 0.2120 loss 12.7435
step  485/1000: dist 0.2122 loss 13.1920
step  486/1000: dist 0.2152 loss 6.8454
step  487/1000: dist 0.2106 loss 5.4517
step  488/1000: dist 0.2137 loss 11.5016
step  489/1000: dist 0.2116 loss 14.6528
step  490/1000: dist 0.2119 loss 13.0692
step  491/1000: dist 0.2139 loss 15.3864
step  492/1000: dist 0.2130 loss 19.6751
step  493/1000: dist 0.2084 loss 14.6471
step  494/1000: dist 0.2143 loss 4.2085
step  495/1000: dist 0.2150 loss 1.8553
step  496/1000: dist 0.2097 loss 7.0254
step  497/1000: dist 0.2113 loss 9.0665
step  498/1000: dist 0.2090 loss 6.0742
step  499/1000: dist 0.2088 loss 3.4674
step  500/1000: dist 0.2058 loss 3.1168
step  501/1000: dist 0.2098 loss 3.9978
step  502/1000: dist 0.2071 loss 5.0852
step  503/1000: dist 0.2063 loss 4.5982
step  504/1000: dist 0.2091 loss 3.2982
step  505/1000: dist 0.2051 loss 4.5710
step  506/1000: dist 0.2074 loss 7.9631
step  507/1000: dist 0.2082 loss 9.8866
step  508/1000: dist 0.2065 loss 10.9933
step  509/1000: dist 0.2062 loss 13.3646
step  510/1000: dist 0.2052 loss 13.9192
step  511/1000: dist 0.2051 loss 10.0342
step  512/1000: dist 0.2073 loss 7.1740
step  513/1000: dist 0.2064 loss 10.9291
step  514/1000: dist 0.2063 loss 17.9477
step  515/1000: dist 0.2078 loss 21.0198
step  516/1000: dist 0.2050 loss 16.1262
step  517/1000: dist 0.2073 loss 6.8892
step  518/1000: dist 0.2081 loss 1.3529
step  519/1000: dist 0.2053 loss 3.9663
step  520/1000: dist 0.2081 loss 9.6279
step  521/1000: dist 0.2065 loss 9.7186
step  522/1000: dist 0.2067 loss 4.3756
step  523/1000: dist 0.2050 loss 2.4625
step  524/1000: dist 0.2055 loss 7.5930
step  525/1000: dist 0.2059 loss 13.5070
step  526/1000: dist 0.2045 loss 16.0444
step  527/1000: dist 0.2054 loss 18.8346
step  528/1000: dist 0.2050 loss 21.9866
step  529/1000: dist 0.2043 loss 17.3192
step  530/1000: dist 0.2044 loss 5.9692
step  531/1000: dist 0.2040 loss 1.4734
step  532/1000: dist 0.2041 loss 7.8205
step  533/1000: dist 0.2037 loss 12.3022
step  534/1000: dist 0.2031 loss 6.7285
step  535/1000: dist 0.2028 loss 1.0379
step  536/1000: dist 0.2038 loss 3.9924
step  537/1000: dist 0.2027 loss 7.5725
step  538/1000: dist 0.2031 loss 4.2556
step  539/1000: dist 0.2036 loss 1.0361
step  540/1000: dist 0.2026 loss 3.7654
step  541/1000: dist 0.2035 loss 5.7545
step  542/1000: dist 0.2029 loss 3.3814
step  543/1000: dist 0.2022 loss 3.4424
step  544/1000: dist 0.2062 loss 8.1359
step  545/1000: dist 0.2040 loss 12.1103
step  546/1000: dist 0.2041 loss 16.2250
step  547/1000: dist 0.2063 loss 25.7020
step  548/1000: dist 0.2020 loss 36.5346
step  549/1000: dist 0.2049 loss 38.4691
step  550/1000: dist 0.2039 loss 26.9451
step  551/1000: dist 0.2063 loss 11.3161
step  552/1000: dist 0.2038 loss 7.7422
step  553/1000: dist 0.2037 loss 19.3001
step  554/1000: dist 0.2045 loss 29.2783
step  555/1000: dist 0.2042 loss 23.4073
step  556/1000: dist 0.2039 loss 11.9685
step  557/1000: dist 0.2032 loss 11.1046
step  558/1000: dist 0.2053 loss 13.9405
step  559/1000: dist 0.2046 loss 8.6259
step  560/1000: dist 0.2055 loss 3.8035
step  561/1000: dist 0.2057 loss 9.3792
step  562/1000: dist 0.2072 loss 13.9736
step  563/1000: dist 0.2038 loss 8.7596
step  564/1000: dist 0.2095 loss 6.0083
